feature,mean_importance
weight_sum_height,-0.0005494796859189188
height_diff_weight,4.3879623463638494e-07
weight,4.303391477857854e-05
weight_sum_age,0.00027756290963535377
eat,0.0004066905900511397
age_diff_height,0.00044110740459335496
weight_multiply_height,0.0007836736224756113
age,0.002628967328507237
region,0.006173466459410359
weight_ratio_height,0.006588459760733867
age_ratio_weight,0.008115337296590674
weight_ratio_age,0.013058440019741102
height,0.017004963123624005
schedule,0.024550459958421922
experience,0.03308313034447654
background,0.033148033620665505
howlong,0.051794564627613296
age_diff_weight,0.05588406352275123
height_ratio_weight,0.06273038685404186
gender,0.5618918331162851
