iter	RMSE
352	155.4899944
353	155.4823475
354	155.46883
355	155.4595038
356	155.4439336
357	155.4351984
358	155.4214934
359	155.4139131
360	155.3981045
361	155.3924077
362	155.3748055
363	155.3650912
364	155.3528492
365	155.348665
366	155.3404477
367	155.3179389
368	155.3066144
369	155.2971465
370	155.2859244
371	155.2766579
372	155.2646375
373	155.2548035
374	155.2462522
375	155.2301096
376	155.2266413
377	155.2158856
378	155.2105501
379	155.1936866
380	155.187341
381	155.1695941
382	155.153105
383	155.1406237
384	155.1284284
385	155.1129061
386	155.1070339
387	155.087376
388	155.0856129
389	155.0701784
390	155.0603163
391	155.0565641
392	155.0505271
393	155.0292266
394	155.0167228
395	155.0128016
396	155.0047953
397	154.9946997
398	154.9736328
399	154.9567429
400	154.9465067
401	154.9403099
402	154.9308249
403	154.9287055
404	154.9245928
405	154.91603
406	154.9107113
407	154.9027717
408	154.8958176
409	154.8926075
410	154.8806162
411	154.8768745
412	154.8722081
413	154.8717472
414	154.864664
415	154.8557514
416	154.844183
417	154.8309176
418	154.8156452
419	154.7949442
420	154.7758303
421	154.7640293
422	154.7477956
423	154.7360482
424	154.719024
425	154.7074674
426	154.6828147
427	154.677201
428	154.668856
429	154.6533564
430	154.6476172
431	154.6356632
432	154.6263712
433	154.6144105
434	154.6134815
435	154.5955067
436	154.5822053
437	154.5667311
438	154.5582818
439	154.5476468
440	154.5377784
441	154.529129
442	154.5169104
443	154.5120658
444	154.5117721
445	154.5059401
446	154.490936
447	154.4866272
448	154.4793361
449	154.4777753
450	154.4650423
451	154.4508975
452	154.4381833
453	154.4307146
454	154.422003
455	154.4057821
456	154.3993557
457	154.3969449
458	154.3784826
459	154.3654085
460	154.3470928
461	154.3447986
462	154.3314859
463	154.3205525
464	154.3075918
465	154.2950351
466	154.2796827
467	154.2714834
468	154.2626536
469	154.2537542
470	154.2485822
471	154.2377685
472	154.2372485
473	154.2255638
474	154.2148487
475	154.2054335
476	154.1874424
477	154.181092
478	154.1791987
479	154.1785237
480	154.1772702
481	154.1717029
482	154.1658704
483	154.1560947
484	154.1362893
485	154.12728
486	154.1106521
487	154.0911828
488	154.0776912
489	154.0705495
490	154.0650735
491	154.056643
492	154.0450172
493	154.0401129
494	154.030122
495	154.0205585
496	154.0152008
497	153.9946426
498	153.9859022
499	153.976812
500	153.9670186
501	153.9658072
502	153.953376
503	153.9432243
504	153.9378827
505	153.9342482
506	153.9186183
507	153.9041646
508	153.8994948
509	153.8835101
510	153.8720435
511	153.8568291
512	153.853134
513	153.847608
514	153.8361575
515	153.8323757
516	153.8124383
517	153.8001385
518	153.7983974
519	153.7916223
520	153.7847536
521	153.7772326
522	153.773085
523	153.7596441
524	153.749929
525	153.7348871
526	153.7301832
527	153.7180522
528	153.7011675
529	153.6939463
530	153.6896472
531	153.6815393
532	153.6753374
533	153.6684152
534	153.6556624
535	153.6331946
536	153.6203126
537	153.613066
538	153.6032389
539	153.5941006
540	153.5896935
541	153.5884622
542	153.5739814
543	153.5693466
544	153.5606184
545	153.5560414
546	153.5542942
547	153.5494802
548	153.5409771
549	153.5387808
550	153.5333495
551	153.5299066
552	153.5176387
553	153.5113285
554	153.503892
555	153.500987
556	153.5007059
557	153.4815043
558	153.4738099
559	153.4651601
560	153.4558947
561	153.4439398
562	153.4322738
563	153.4289247
564	153.4171002
565	153.4079576
566	153.4041985
567	153.3967716
568	153.3887393
569	153.377918
570	153.3670574
571	153.3505945
572	153.3460353
573	153.3381555
574	153.3231991
575	153.3177487
576	153.2996198
577	153.2815899
578	153.2813298
579	153.2769769
580	153.2728135
581	153.2597849
582	153.2469706
583	153.2330569
584	153.2294055
585	153.2208818
586	153.204071
587	153.1942833
588	153.1833393
589	153.1819534
590	153.1624414
591	153.1567643
592	153.1520754
593	153.1467114
594	153.1349059
595	153.1192403
596	153.1003995
597	153.1002604
598	153.0912512
599	153.084109
