feature,mean_importance
eat,0.000620847531401264
region,0.0074218355703245305
schedule,0.02467118959359337
background,0.03168871489289815
experience,0.03876368147267599
height,0.03944710258101192
howlong,0.04720523141060712
age,0.07999370338912233
weight,0.3381267857352705
gender,0.5388493177434686
