iter	Passed	Remaining
0	13	6951
1	24	6070
2	43	7136
3	52	6460
4	59	5931
5	68	5656
6	76	5386
7	82	5103
8	90	4930
9	98	4838
10	105	4704
11	111	4532
12	118	4453
13	125	4348
14	131	4243
15	137	4168
16	143	4083
17	149	4007
18	156	3961
19	162	3897
20	169	3876
21	176	3839
22	183	3808
23	189	3767
24	196	3742
25	203	3715
26	210	3679
27	216	3657
28	222	3611
29	228	3574
30	235	3558
31	242	3540
32	247	3507
33	253	3476
34	261	3468
35	267	3443
36	274	3433
37	281	3419
38	288	3410
39	295	3402
40	302	3388
41	308	3363
42	315	3353
43	322	3341
44	329	3333
45	335	3315
46	343	3309
47	350	3297
48	358	3297
49	364	3276
50	371	3271
51	378	3261
52	386	3256
53	394	3257
54	400	3239
55	407	3230
56	414	3225
57	420	3207
58	427	3192
59	434	3188
60	442	3181
61	449	3176
62	457	3173
63	463	3157
64	469	3143
65	476	3134
66	482	3117
67	487	3097
68	493	3083
69	500	3073
70	506	3061
71	513	3053
72	520	3047
73	526	3032
74	534	3030
75	542	3028
76	550	3022
77	556	3008
78	562	2997
79	569	2989
80	576	2981
81	582	2968
82	588	2956
83	594	2946
84	600	2933
85	608	2927
86	614	2914
87	620	2904
88	627	2897
89	633	2885
90	640	2878
91	648	2873
92	655	2867
93	662	2861
94	670	2856
95	677	2851
96	684	2844
97	691	2835
98	697	2824
99	703	2814
100	711	2809
101	716	2796
102	724	2790
103	730	2781
104	736	2769
105	743	2764
106	750	2758
107	756	2746
108	763	2739
109	770	2732
110	778	2727
111	783	2715
112	790	2708
113	797	2699
114	803	2690
115	809	2679
116	816	2673
117	823	2666
118	830	2657
119	837	2651
120	845	2648
121	853	2644
122	862	2642
123	869	2637
124	877	2632
125	886	2630
126	894	2627
127	902	2621
128	907	2610
129	914	2602
130	921	2594
131	927	2585
132	934	2579
133	941	2572
134	949	2568
135	957	2562
136	964	2555
137	971	2548
138	978	2541
139	985	2535
140	992	2526
141	1000	2522
142	1007	2516
143	1014	2508
144	1021	2502
145	1027	2492
146	1034	2483
147	1040	2475
148	1048	2470
149	1055	2463
150	1063	2457
151	1070	2450
152	1078	2445
153	1085	2438
154	1091	2429
155	1099	2424
156	1106	2417
157	1113	2411
158	1120	2402
159	1127	2396
160	1135	2390
161	1142	2384
162	1148	2375
163	1156	2368
164	1163	2363
165	1170	2355
166	1178	2349
167	1185	2342
168	1191	2332
169	1197	2325
170	1204	2316
171	1211	2310
172	1219	2304
173	1225	2295
174	1232	2288
175	1238	2280
176	1244	2271
177	1251	2264
178	1258	2257
179	1265	2250
180	1272	2242
181	1280	2236
182	1287	2230
183	1295	2225
