iter	RMSE
0	252.7160263
1	230.1233273
2	209.1345995
3	190.2860546
4	173.2553677
5	158.2735264
6	144.2683612
7	131.7661771
8	120.5422893
9	109.9592204
10	100.5169821
11	91.91411634
12	84.00151846
13	77.03447085
14	70.6356656
15	64.80373723
16	59.58866035
17	54.75725735
18	50.42678402
19	46.53170754
20	42.95275687
21	39.72215008
22	36.81701323
23	34.11898562
24	31.74823662
25	29.52430106
26	27.5590522
27	25.76155117
28	24.10104331
29	22.59845844
30	21.26502245
31	20.06173609
32	18.99187972
33	18.03239738
34	17.15337054
35	16.33459269
36	15.61616239
37	14.98403585
38	14.40151363
39	13.87393023
40	13.39543535
41	12.97420581
42	12.60569583
43	12.27334804
44	11.96358282
45	11.6992198
46	11.4531074
47	11.23057158
48	11.0280766
49	10.85250086
50	10.6850314
51	10.54467452
52	10.41948926
53	10.30122875
54	10.17556818
55	10.06691933
56	9.978204089
57	9.901947931
58	9.793363472
59	9.701922768
60	9.637872619
61	9.558083354
62	9.506872675
63	9.466469781
64	9.373018981
65	9.342278995
66	9.263888358
67	9.225806462
68	9.15803301
69	9.121223317
70	9.045449364
71	8.98303759
72	8.934050468
73	8.889899705
74	8.827576365
75	8.740328071
76	8.698520665
77	8.686214351
78	8.644465148
79	8.576348377
80	8.535655996
81	8.479189269
82	8.464235482
83	8.408273651
84	8.394165037
85	8.330038359
86	8.315663682
87	8.242079188
88	8.230091314
89	8.162066768
90	8.070646242
91	8.059891732
92	7.968044952
93	7.906024763
94	7.856549495
95	7.817477571
96	7.764018732
97	7.751635665
98	7.711374233
99	7.698263663
100	7.644219874
101	7.636043665
102	7.627675802
103	7.579415884
104	7.567989925
105	7.51978967
106	7.510144617
107	7.502077981
108	7.493666027
109	7.458418733
110	7.376869992
111	7.331100459
112	7.267537422
113	7.214108363
114	7.208233036
115	7.198662509
116	7.169229392
117	7.125642496
118	7.093922986
119	7.044775735
120	7.012780579
121	6.978214547
122	6.951852623
123	6.947357629
124	6.91026212
125	6.84918529
126	6.817137215
127	6.766023953
128	6.706949734
129	6.67251332
130	6.668007398
131	6.621276408
132	6.599880251
133	6.581740024
134	6.536504473
135	6.532402835
136	6.509746854
137	6.50618751
138	6.488275383
139	6.443178031
140	6.425898925
141	6.403835852
142	6.355757412
143	6.33283409
144	6.306883016
145	6.269369637
146	6.265870881
147	6.256483782
148	6.241046329
149	6.213645863
150	6.192579333
151	6.189245938
152	6.15091023
153	6.147771049
154	6.095658679
