feature,mean_importance
eat,-0.00033565107144162276
region,0.0008386899295563021
experience,0.007232012064097881
background,0.023850075802554126
schedule,0.025294379923753618
height,0.059942116455405904
howlong,0.06981574876298059
age,0.08011730944433251
weight,0.3603579684202264
gender,0.5727553540517161
