feature,mean_importance
eat,-0.0005412861744932274
region,0.0010154746327178388
background,0.01706912250318582
schedule,0.021756343790573986
experience,0.02196367959880634
howlong,0.04383086865429832
age,0.06872916158537845
height,0.0929261120336112
weight,0.5009034540385653
gender,0.549891166219689
