feature,mean_importance
weight_sum_age,-0.00034932697556636636
weight_multiply_height,0.00020053760828440126
eat,0.0008227902992071434
age_diff_height,0.0010818291231275202
weight_sum_height,0.001190446427649572
weight,0.003727037059886995
age,0.003805716599217135
height_diff_weight,0.0047232474389676034
region,0.006764666857420942
weight_ratio_age,0.00933910317435811
height,0.012616043356292139
age_diff_weight,0.014004681257080598
age_ratio_weight,0.01927921178837607
schedule,0.02195790044435051
background,0.028287191664610613
experience,0.0346420903665959
height_ratio_weight,0.04474541204003161
weight_ratio_height,0.04649169985850952
howlong,0.04949997652357977
gender,0.5436975761477905
