name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Default_LightGBM,LightGBM,rmse,170.89639088793163,5.31,0.0089
2_Default_Xgboost,Xgboost,rmse,170.46838395776302,2.01,0.0101
3_Default_CatBoost,CatBoost,rmse,169.97859389993835,1.97,0.0088
4_Default_NeuralNetwork,Neural Network,rmse,170.8005067547761,4.68,0.0146
5_Default_RandomForest,Random Forest,rmse,172.29809731711347,5.72,0.0874
10_LightGBM,LightGBM,rmse,172.38772377915694,3.95,0.0089
6_Xgboost,Xgboost,rmse,171.52933014297045,2.09,0.0105
14_CatBoost,CatBoost,rmse,169.97315227969546,542.65,0.0084
15_CatBoost,CatBoost,rmse,170.01469249811038,9.68,0.0084
16_CatBoost,CatBoost,rmse,169.98055106295627,2.76,0.0083
17_CatBoost,CatBoost,rmse,170.02452801683125,3.35,0.0083
18_Xgboost,Xgboost,rmse,170.46730341119644,2.33,0.0104
19_Xgboost,Xgboost,rmse,170.44485706288054,1.86,0.0102
20_NeuralNetwork,Neural Network,rmse,170.40483769140693,4.28,0.0149
21_NeuralNetwork,Neural Network,rmse,171.2450305479339,4.04,0.0145
Ensemble,Ensemble,rmse,169.89021825687888,0.2,0.0728
